IDs         length   Exptl.  resolution  R-factor FreeRvalue
5Y9AA       196      XRAY        1.100    0.13    0.16
4PP4A       276      XRAY        1.450    0.17    0.18
4MNOA       115      XRAY        1.350    0.16    0.19
2PVBA       108      XRAY        0.910    0.11    0.13
2FBAA       492      XRAY        1.100    0.15    0.16
5BY5A       146      XRAY        1.200    0.12    0.15
4BPSA       344      XRAY        1.080    0.13    0.15
5COFA       173      XRAY        1.350    0.12    0.14
3F9XA       166      XRAY        1.250    0.18    0.21
5K87A       399      XRAY        1.220    0.16    0.18
2FOMA        62      XRAY        1.500    0.18    0.21
4C2VC        44      XRAY        1.490    0.17    0.20
4IGIA       203      XRAY        1.200    0.12    0.15
3BMZA       199      XRAY        1.210    0.17    0.20
5SVYA        50      XRAY        1.050    0.12    0.15
4EFPA       239      XRAY        1.330    0.18    0.23
5NSAA       108      XRAY        1.270    0.15    0.18
2FCWB        80      XRAY        1.260    0.15    0.20
1SJWA       144      XRAY        1.350    0.14    0.18
3OXPA       150      XRAY        1.200    0.15    0.18
4P3VA        90      XRAY        1.250    0.16    0.17
5WD9A        91      XRAY        1.400    0.17    0.20
4KU0A        96      XRAY        1.150    0.14    0.17
3CLMA       352      XRAY        1.140    0.13    0.16
4YG0A       164      XRAY        1.280    0.17    0.20
3EO6A       106      XRAY        0.970    0.12    0.14
1M55A       197      XRAY        1.400    0.18    0.20
2Z5WA       136      XRAY        1.350    0.17    0.19
4REOA       229      XRAY        1.350    0.17    0.21
5C6SA       130      XRAY        1.300    0.19    0.22
5DLOA       133      XRAY        1.400    0.13    0.16
2GKPA       167      XRAY        1.350    0.15    0.21
3BONA       425      XRAY        1.200    0.13    0.16
5LXEA       335      XRAY        1.470    0.16    0.18
4CJ0A       625      XRAY        1.100    0.11    0.12
2O9SA        67      XRAY        0.830    0.10    0.12
3IE4A       107      XRAY        1.450    0.19    0.20
3R9FA       188      XRAY        1.200    0.18    0.20
2XJPA       258      XRAY        0.950    0.11    0.12
3RKGA       261      XRAY        1.280    0.17    0.20
3URKA       324      XRAY        1.500    0.16    0.21
1NKDA        65      XRAY        1.090    0.10    0.13
4JJAA       371      XRAY        1.300    0.12    0.15
1S0PA       176      XRAY        1.400    0.27    0.21
5UQZA       354      XRAY        1.150    0.13    0.15
2EABA       899      XRAY        1.120    0.18    0.19
5HB6A       144      XRAY        1.300    0.15    0.17
5N41A        76      XRAY        1.350    0.16    0.20
3QZXA       195      XRAY        1.300    0.13    0.16
4NPDA        58      XRAY        0.900    0.11    0.13
4OQ9A       159      XRAY        1.450    0.22    0.25
5LJMA       215      XRAY        1.450    0.18    0.23
3L32A        45      XRAY        1.500    0.20    0.23
2BF6A       449      XRAY        0.970    0.11    0.13
2E3NA       255      XRAY        1.400    0.22    0.23
5FEWA       358      XRAY        1.170    0.11    0.13
4WJTA       167      XRAY        1.210    0.11    0.14
2WNFA       298      XRAY        1.250    0.18    0.20
4ZOTA       168      XRAY        1.400    0.12    0.17
4H6QA       312      XRAY        1.360    0.15    0.18
3GIUA       215      XRAY        1.250    0.12    0.15
1WN2A       121      XRAY        1.200    0.19    0.21
3N6YA       137      XRAY        1.500    0.18    0.21
4YTWA        81      XRAY        1.400    0.22    0.24
3POJA       115      XRAY        1.450    0.13    0.15
3ZR8X        65      XRAY        0.900    0.13    0.15
5NWPA       203      XRAY        1.050    0.12    0.14
3HLXA       258      XRAY        1.300    0.17    0.20
1OH0A       131      XRAY        1.100    0.22    0.22
1K5NA       276      XRAY        1.090    0.12    0.15
5CQ2A        90      XRAY        1.400    0.15    0.18
5Y2SA       260      XRAY        0.900    0.11    0.13
4DYQA       140      XRAY        1.500    0.18    0.20
1IRQA        71      XRAY        1.500    0.21    0.23
4A6QA       143      XRAY        1.500    0.19    0.21
4I6XA       131      XRAY        1.500    0.19    0.24
3LYEA       307      XRAY        1.300    0.13    0.17
1Y9LA       115      XRAY        1.500    0.22    0.25
4EU9A       514      XRAY        1.480    0.16    0.18
5YHRA        97      XRAY        1.340    0.18    0.20
1GXUA        91      XRAY        1.270    0.13    0.16
3AWUA       281      XRAY        1.160    0.14    0.17
5X57A        81      XRAY        1.450    0.13    0.17
4NBPA       132      XRAY        1.310    0.15    0.18
3GMGA       170      XRAY        1.500    0.18    0.21
1NZ0A       118      XRAY        1.200    0.16    0.22
4UQWA       163      XRAY        1.500    0.16    0.18
4JM1A        84      XRAY        1.400    0.13    0.17
4LDVA       362      XRAY        1.450    0.21    0.24
3ULTA       133      XRAY        1.400    0.17    0.19
1OAIA        59      XRAY        1.000    0.15    0.16
5MJRA       239      XRAY        1.380    0.12    0.15
4XZFA       122      XRAY        1.380    0.17    0.21
4I8HA       223      XRAY        0.750    0.10    0.11
5A0NA       220      XRAY        1.300    0.12    0.15
2GLZA       153      XRAY        1.450    0.17    0.20
3NGGA        50      XRAY        1.330    0.18    0.21
5N8AX       102      XRAY        1.280    0.15    0.18
4JGIA       211      XRAY        1.500    0.15    0.19
5FBFA       267      XRAY        1.040    0.11    0.14
5EIPA       134      XRAY        1.490    0.20    0.23
3MCWA       198      XRAY        1.060    0.13    0.15
2VZCA       131      XRAY        1.050    0.14    0.16
5X9IA       339      XRAY        1.500    0.19    0.21
4GWBA       168      XRAY        1.200    0.16    0.18
4ZV0A       163      XRAY        1.400    0.15    0.16
2P5KA        64      XRAY        1.000    0.14    0.16
2X46A       144      XRAY        1.000    0.14    0.16
2F01A       127      XRAY        0.850    0.15    0.17
4YECA       126      XRAY        1.120    0.16    0.19
3S44A       399      XRAY        1.450    0.19    0.21
3QU3A       137      XRAY        1.300    0.17    0.20
5TKWA       237      XRAY        1.350    0.15    0.18
3F1LA       252      XRAY        0.950    0.17    0.19
4P5NA        77      XRAY        1.490    0.14    0.18
4O0AA       123      XRAY        1.200    0.16    0.18
4MLVA       312      XRAY        1.460    0.14    0.19
3SJMA        64      XRAY        1.350    0.17    0.21
4LUPA       106      XRAY        1.200    0.15    0.17
2NRRA       159      XRAY        1.200    0.18    0.22
4KU0D        96      XRAY        1.150    0.14    0.17
1VQSA       116      XRAY        1.500    0.15    0.18
5EL9A       205      XRAY        1.100    0.12    0.13
4OD6A        90      XRAY        1.200    0.18    0.21
3L9AX        88      XRAY        1.300    0.14    0.15
5TC6A       297      XRAY        1.480    0.17    0.18
5ELBA       103      XRAY        1.080    0.12    0.15
2ENDA       138      XRAY        1.450    0.16    1.00
3ZN4A       173      XRAY        1.260    0.16    0.18
2NXVA       249      XRAY        1.100    0.14    0.15
5KY4B        40      XRAY        1.470    0.15    0.17
5B7EA       526      XRAY        1.420    0.16    0.18
5XP6A       243      XRAY        0.950    0.13    0.14
3B0FA        53      XRAY        1.400    0.17    0.20
5EMIA       180      XRAY        1.120    0.14    0.15
4GHNA       393      XRAY        1.500    0.14    0.17
4R5RA        68      XRAY        0.960    0.15    0.17
4X9ZA        50      XRAY        1.500    0.18    0.22
5B1AF        98      XRAY        1.500    0.15    0.17
6FG8A       265      XRAY        1.250    0.15    0.18
4PS6A       130      XRAY        1.250    0.12    0.16
4BOQA       183      XRAY        1.470    0.17    0.20
3LHNA       126      XRAY        1.420    0.17    0.18
5HOBA        50      XRAY        1.220    0.19    0.21
4DRIB        98      XRAY        1.450    0.18    0.21
3S6EA       114      XRAY        0.950    0.12    0.13
2GZ4A       207      XRAY        1.500    0.15    0.18
3A8GB       212      XRAY        1.110    0.14    0.17
4A7UA       153      XRAY        0.980    0.14    0.15
5LBDA       131      XRAY        1.500    0.18    0.21
4BT7A       257      XRAY        1.100    0.17    0.18
5NHUI        82      XRAY        1.450    0.18    0.20
1JEKA        42      XRAY        1.500    0.21    0.27
5MFAA       697      XRAY        1.200    0.12    0.14
4EICA        93      XRAY        0.840    0.11    0.13
2E4TA       519      XRAY        0.960    0.13    0.15
5B1AM        46      XRAY        1.500    0.15    0.17
5E9PA        86      XRAY        1.200    0.11    0.12
1EZGA        84      XRAY        1.400    0.16    0.20
4W8HA       129      XRAY        1.140    0.14    0.17
2O9UX        97      XRAY        1.150    0.20    0.17
5MY7A       124      XRAY        1.400    0.16    0.20
1EU1A       780      XRAY        1.300    0.12    0.14
3AIAA       211      XRAY        1.400    0.19    0.22
5M7DA       298      XRAY        1.200    0.13    0.16
5MX9A       324      XRAY        1.120    0.13    0.14
1NG6A       148      XRAY        1.400    0.21    0.25
3OMDA       145      XRAY        1.500    0.15    0.19
5KLAA       337      XRAY        1.140    0.16    0.17
1FYEA       229      XRAY        1.200    0.16    0.19
3ESSA       230      XRAY        1.190    0.13    0.15
5SUIA       439      XRAY        1.300    0.13    0.16
5KXHA       355      XRAY        1.330    0.15    0.17
4WEEA       144      XRAY        0.890    0.15    0.16
2PIEA       138      XRAY        1.350    0.18    0.20
1UCSA        64      XRAY        0.620    0.14    0.15
4YPCA        83      XRAY        1.440    0.25    0.28
3K5JA       183      XRAY        1.400    0.14    0.16
5IO9A       106      XRAY        1.300    0.19    0.21
4Q53A       110      XRAY        1.270    0.15    0.18
4A3PA       217      XRAY        1.400    0.16    0.22
1EB6A       177      XRAY        1.000    0.10    0.13
5JDAA       359      XRAY        1.400    0.17    0.18
4ZVCA       126      XRAY        1.500    0.15    0.19
2JKHL        55      XRAY        1.250    0.20    0.22
2OXCA       230      XRAY        1.300    0.15    0.17
3PSMA        47      XRAY        0.980    0.12    0.16
5NAIA       266      XRAY        1.150    0.13    0.14
4LWUA        85      XRAY        1.140    0.22    0.23
1CC8A        73      XRAY        1.020    0.14    0.17
1UTGA        70      XRAY        1.340    0.23    1.00
4MYZA        79      XRAY        1.500    0.18    0.20
2X3MA       239      XRAY        1.450    0.18    0.20
4J42A        93      XRAY        1.280    0.16    0.17
4IUMA       142      XRAY        1.450    0.16    0.18
3G36A        55      XRAY        1.200    0.20    0.23
3GP6A       163      XRAY        1.400    0.17    0.21
4BRCA       368      XRAY        1.300    0.14    0.19
1KQ6A       141      XRAY        1.180    0.13    0.18
2CZSA        80      XRAY        1.500    0.22    0.27
4HY4A       115      XRAY        1.250    0.15    0.17
1W66A       232      XRAY        1.080    0.12    0.15
2XQQA        89      XRAY        1.310    0.12    0.16
2VH3A       113      XRAY        1.160    0.22    0.24
5K4BA       368      XRAY        1.400    0.17    0.19
1TBFA       347      XRAY        1.300    0.16    0.18
2R2ZA        93      XRAY        1.200    0.15    0.17
3VN3A       223      XRAY        0.950    0.11    0.13
2BT9A        90      XRAY        0.940    0.10    0.12
4P7OA       367      XRAY        1.480    0.22    0.25
5IUCA       127      XRAY        1.250    0.16    0.18
4UNUA       111      XRAY        0.950    0.11    0.13
3FDEA       212      XRAY        1.410    0.15    0.19
3VYPA       269      XRAY        1.400    0.17    0.20
1Y6XA        93      XRAY        1.250    0.18    0.21
3T7LA        90      XRAY        1.090    0.17    0.15
2WWXB       217      XRAY        1.500    0.21    0.23
3B79A       129      XRAY        1.370    0.16    0.18
4AFMA       134      XRAY        1.250    0.16    0.17
4BQNA       312      XRAY        1.380    0.12    0.15
2FGQX       332      XRAY        1.450    0.15    0.17
4ALZA       198      XRAY        1.400    0.19    0.23
2G7OA        70      XRAY        1.400    0.20    0.22
5B7FA       492      XRAY        1.450    0.15    0.18
5LZNA       119      XRAY        1.400    0.16    0.19
3OFGA        95      XRAY        1.370    0.15    0.17
1Z2UA       150      XRAY        1.100    0.13    0.15
1I1WA       303      XRAY        0.890    0.09    0.11
1UFYA       122      XRAY        0.960    0.11    0.13
2DT8A       280      XRAY        1.480    0.17    0.20
3H5JA       171      XRAY        1.200    0.13    0.17
4JNUA        40      XRAY        1.450    0.19    0.22
1JFBA       404      XRAY        1.000    0.10    0.14
4EQPA       143      XRAY        1.350    0.17    0.19
4QHWA       401      XRAY        1.350    0.11    0.13
2QSKA        95      XRAY        1.000    0.13    0.15
2OFCA       142      XRAY        1.110    0.12    0.13
2FCJA       119      XRAY        1.300    0.19    0.21
3CIMA        99      XRAY        1.300    0.17    0.22
2RILA        99      XRAY        1.260    0.14    0.16
4NF1A       150      XRAY        1.400    0.18    0.20
2GOMA        61      XRAY        1.250    0.21    0.22
5EWUA       388      XRAY        1.250    0.17    0.18
3HLZA       269      XRAY        1.500    0.17    0.20
5W8QA       390      XRAY        1.170    0.10    0.12
1PZ4A       116      XRAY        1.350    0.19    0.23
5HS4A       346      XRAY        1.340    0.15    0.17
5N0OA       398      XRAY        1.440    0.17    0.18
3COVA       301      XRAY        1.500    0.17    0.20
5JBXA       261      XRAY        1.100    0.13    0.14
2OV0A       105      XRAY        0.750    0.13    0.14
5NJ9A       495      XRAY        1.250    0.15    0.18
3QPAA       197      XRAY        0.850    0.12    0.12
5L0VA       357      XRAY        1.300    0.16    0.17
1F1EA       154      XRAY        1.370    0.17    0.21
2PU3A       211      XRAY        1.500    0.17    0.18
3RFEA       130      XRAY        1.250    0.20    0.22
2GKGA       127      XRAY        1.000    0.09    0.12
4H4NA        67      XRAY        1.100    0.15    0.18
3TDUC        77      XRAY        1.500    0.21    0.23
4YFUA       580      XRAY        1.500    0.20    0.23
4PQDA       105      XRAY        1.330    0.17    0.19
4B5OA       200      XRAY        1.050    0.13    0.16
4Q4W2       271      XRAY        1.400    0.15    1.00
3UEJA        65      XRAY        1.300    0.14    0.16
4TR6A       380      XRAY        1.500    0.18    0.20
3D3BA       141      XRAY        1.300    0.17    0.20
3OYVA       361      XRAY        1.250    0.13    0.16
4PJ2C       122      XRAY        1.240    0.15    0.17
5GGNA       164      XRAY        1.210    0.14    0.17
4HDDA        79      XRAY        1.350    0.16    0.18
1VK1A       242      XRAY        1.200    0.17    0.17
3ZUCA       153      XRAY        1.000    0.12    0.14
3BB0A       609      XRAY        1.500    0.17    0.19
5XVEA       356      XRAY        1.240    0.15    0.16
1RTQA       299      XRAY        0.950    0.14    0.15
5EWOA       228      XRAY        0.950    0.13    0.14
2Q2FA        89      XRAY        1.500    0.18    0.21
4CS4A       274      XRAY        1.350    0.15    0.18
2FAOA       309      XRAY        1.500    0.21    0.21
1XQOA       256      XRAY        1.030    0.16    0.18
5VNYA        66      XRAY        1.100    0.17    0.18
5LNDA       132      XRAY        1.460    0.18    0.19
5V01A       173      XRAY        1.300    0.13    0.16
2PBDV        43      XRAY        1.500    0.16    0.19
5B1AA       514      XRAY        1.500    0.15    0.17
2HEWF       152      XRAY        1.450    0.17    0.19
3WMVA       153      XRAY        1.050    0.14    0.15
5M1MA       155      XRAY        1.500    0.19    0.22
5C9OA       381      XRAY        1.500    0.13    0.15
3CT6A       131      XRAY        1.100    0.15    0.18
4V3IA       257      XRAY        1.500    0.18    0.19
4N2PA       143      XRAY        1.440    0.14    0.18
1RG8A       146      XRAY        1.100    0.15    0.17
1K7JA       206      XRAY        1.400    0.20    0.20
3IFNP        40      XRAY        1.500    0.19    0.21
4WNDB        53      XRAY        1.500    0.16    0.18
2COVD       104      XRAY        1.250    0.15    0.17
4KQIA       356      XRAY        1.400    0.17    0.20
4NKPA       148      XRAY        1.240    0.13    0.15
4CNGA       255      XRAY        1.100    0.16    0.18
4A6RA       459      XRAY        1.350    0.14    0.16
1X91A       153      XRAY        1.500    0.18    0.21
4YQDA       266      XRAY        1.450    0.16    0.19
4RLZA       316      XRAY        1.190    0.14    0.16
2ABSA       383      XRAY        1.100    0.14    0.17
5UWZA       243      XRAY        1.250    0.14    0.17
3OA2A       318      XRAY        1.500    0.20    0.24
4OA3A       146      XRAY        1.390    0.18    0.20
4WZXA        95      XRAY        1.390    0.15    0.18
2WDSA       143      XRAY        1.350    0.18    0.20
4ZAVA       209      XRAY        1.400    0.10    0.13
2FHZA       109      XRAY        1.150    0.20    0.20
2IA7A       134      XRAY        1.440    0.17    0.20
4DMVA       556      XRAY        1.500    0.19    0.21
1Z0WA       207      XRAY        1.200    0.14    0.18
3IISM       151      XRAY        1.400    0.15    0.19
4JF8A       179      XRAY        1.350    0.15    0.17
1JL1A       155      XRAY        1.300    0.22    0.26
4UHTA       102      XRAY        1.150    0.13    0.16
1Q7LB        88      XRAY        1.400    0.13    0.17
4MX6A       346      XRAY        1.100    0.13    0.15
3OMYA        52      XRAY        1.300    0.15    0.17
2B97A        71      XRAY        0.750    0.13    0.15
2O7AA       124      XRAY        0.840    0.09    0.11
5B1AH        85      XRAY        1.500    0.15    0.17
1GWEA       503      XRAY        0.880    0.09    0.10
1DJ0A       264      XRAY        1.500    0.16    0.22
1DS1A       324      XRAY        1.080    0.14    0.17
5KO9A       277      XRAY        1.500    0.18    0.21
3GNEA       252      XRAY        1.200    0.13    0.18
6B7JA       175      XRAY        1.440    0.16    0.19
2XN6A       350      XRAY        1.290    0.21    0.23
4Q7OA       146      XRAY        1.450    0.15    0.19
2CARA       196      XRAY        1.090    0.10    0.15
3VN0A        51      XRAY        1.370    0.18    0.22
4KEFA       143      XRAY        1.100    0.13    0.14
3GBWA       164      XRAY        1.320    0.16    0.19
4CE8A       114      XRAY        0.900    0.13    0.14
1N13B       113      XRAY        1.400    0.20    0.21
1F46A       140      XRAY        1.500    0.20    0.22
1TGRA        52      XRAY        1.420    0.21    0.22
2VPAA       216      XRAY        1.200    0.14    0.18
4B89A       249      XRAY        1.500    0.19    0.21
3G21A        77      XRAY        0.900    0.12    0.14
5KVGE       110      XRAY        1.400    0.15    0.18
4O0CA       309      XRAY        1.500    0.15    0.20
3UR8A       323      XRAY        1.260    0.14    0.18
3JUDA       153      XRAY        0.980    0.15    0.18
5NCWB        41      XRAY        1.500    0.16    0.18
2EHPA       126      XRAY        1.300    0.23    0.24
2WZBA       416      XRAY        1.470    0.16    0.19
3PN3A       193      XRAY        1.300    0.16    0.17
5AMHA       125      XRAY        1.200    0.13    0.16
2XHFA       171      XRAY        1.300    0.15    0.18
4N03A       405      XRAY        1.150    0.12    0.15
2ZOUA       149      XRAY        1.450    0.20    0.22
2ZFDB       123      XRAY        1.200    0.18    0.19
2W1JA       212      XRAY        1.240    0.17    0.18
4EGUA       119      XRAY        0.950    0.14    0.15
1NTVA       152      XRAY        1.500    0.21    0.24
4MAXA       123      XRAY        1.440    0.17    0.19
4HLSA       132      XRAY        1.450    0.15    0.18
5NQOA       133      XRAY        1.150    0.13    0.14
4DT5A       143      XRAY        1.150    0.14    0.16
4YEPA       185      XRAY        1.190    0.13    0.16
4RZ9A       179      XRAY        1.280    0.13    0.15
1XG0A        76      XRAY        0.970    0.11    0.13
4Q2SA       143      XRAY        1.350    0.19    0.21
3ZZPA        77      XRAY        0.960    0.11    0.14
6AO9A       192      XRAY        1.130    0.19    0.20
3D7JA       152      XRAY        1.450    0.21    0.22
3QM9A       146      XRAY        0.910    0.12    0.13
2ZUXA       591      XRAY        1.320    0.17    0.18
5LUNA       352      XRAY        1.080    0.16    0.18
5ITMA        48      XRAY        1.400    0.17    0.20
2J5YA        61      XRAY        1.400    0.15    0.20
3LHCA       100      XRAY        1.340    0.20    0.22
4WUIA       207      XRAY        1.090    0.13    0.14
3FYMA       130      XRAY        1.000    0.11    0.14
3H0NA       188      XRAY        1.450    0.14    0.16
2ZCMA       192      XRAY        1.330    0.19    0.22
4GOFA        52      XRAY        1.350    0.18    0.20
3N6ZA       363      XRAY        1.300    0.14    0.16
6B9XA       161      XRAY        1.420    0.21    0.24
5LS7D       102      XRAY        1.160    0.12    0.14
5AIMA       100      XRAY        1.400    0.18    0.20
3VZ9B       106      XRAY        1.030    0.19    0.21
3CUZA       532      XRAY        1.040    0.15    0.17
3H87C        73      XRAY        1.490    0.16    0.17
1C7KA       132      XRAY        1.000    0.15    0.18
5SY4A       199      XRAY        0.980    0.11    0.13
5KXHB        40      XRAY        1.330    0.15    0.17
4MC3A       346      XRAY        1.500    0.14    0.19
2FSQA       243      XRAY        1.400    0.16    0.20
3F6YA       262      XRAY        1.450    0.15    0.18
3VEJA        41      XRAY        1.230    0.18    0.20
4XPXA       130      XRAY        1.030    0.16    0.17
1IFRA       121      XRAY        1.400    0.22    1.00
4I71A       330      XRAY        1.280    0.13    0.15
5CL8A       241      XRAY        1.380    0.13    0.16
3CCDA        85      XRAY        1.000    0.19    0.20
4JN7A       395      XRAY        1.150    0.14    0.14
4EAEA       190      XRAY        1.320    0.16    0.18
2CCVA       101      XRAY        1.300    0.14    0.18
4HS1A        85      XRAY        0.870    0.13    0.14
5JIGA       127      XRAY        1.000    0.14    0.17
4JZZA       376      XRAY        1.490    0.17    0.19
1Y43B       173      XRAY        1.400    0.20    0.23
3X0IA       170      XRAY        0.910    0.14    1.00
4HWVA       503      XRAY        1.370    0.13    0.15
5NT7B       163      XRAY        1.400    0.17    0.20
1OI6A       205      XRAY        1.400    0.13    0.17
3P0KA       266      XRAY        1.470    0.21    0.23
4NI6A       150      XRAY        1.100    0.18    0.21
5GWNA       439      XRAY        1.310    0.17    0.19
2HW2A       143      XRAY        1.450    0.14    0.18
2INWA       133      XRAY        1.500    0.23    0.25
3T2CA       407      XRAY        1.300    0.11    0.13
4NOHA       169      XRAY        1.500    0.16    0.20
4UMIA       208      XRAY        1.330    0.12    0.14
3FCNA       164      XRAY        1.450    0.16    0.18
4G78A       152      XRAY        0.920    0.12    0.15
2J9WA       102      XRAY        1.300    0.20    0.23
1K3XA       262      XRAY        1.250    0.15    0.18
6FFAA       167      XRAY        1.500    0.17    0.19
5W98A       336      XRAY        1.230    0.16    0.19
4MTUA       144      XRAY        0.970    0.15    0.16
4D6GA       599      XRAY        1.240    0.12    0.13
2OFZA       138      XRAY        1.170    0.16    0.19
4TZ1A       549      XRAY        1.500    0.10    0.12
4PHRA       277      XRAY        1.340    0.15    0.19
4GA2A       150      XRAY        0.950    0.18    0.20
2W6AA        63      XRAY        1.400    0.16    0.20
5OL4A       100      XRAY        1.280    0.12    0.14
4GQ4A       489      XRAY        1.270    0.15    0.18
4HROA        90      XRAY        1.150    0.17    0.17
2OMLA       189      XRAY        1.200    0.15    0.18
3FSOA       123      XRAY        1.410    0.18    0.21
3V1AA        48      XRAY        0.980    0.10    0.11
4KT3B       137      XRAY        1.440    0.15    0.17
4TKCA       120      XRAY        1.290    0.16    0.21
3BUUA       229      XRAY        1.200    0.16    0.19
4Q4W4        69      XRAY        1.400    0.15    1.00
4WY4D        65      XRAY        1.400    0.14    0.18
3S83A       259      XRAY        1.340    0.17    0.20
4DQJA       173      XRAY        1.230    0.15    0.17
5TDAA        76      XRAY        0.790    0.12    0.13
4ZMKA        71      XRAY        1.500    0.16    0.20
2XUVA        79      XRAY        1.500    0.18    0.20
3IP0A       158      XRAY        0.890    0.13    0.13
2WNPF       217      XRAY        1.210    0.18    0.19
2JG0A       535      XRAY        1.500    0.15    0.19
2Y8YA       215      XRAY        1.440    0.18    0.20
3BOEA       210      XRAY        1.400    0.17    0.19
1I27A        73      XRAY        1.020    0.13    0.15
5JRYA       485      XRAY        1.200    0.11    0.13
3EERA       148      XRAY        1.450    0.14    0.16
3BWZA       181      XRAY        1.200    0.12    0.15
2ZPTX       295      XRAY        1.150    0.15    0.16
2VNGA       180      XRAY        1.400    0.19    0.23
1GKMA       509      XRAY        1.000    0.12    0.14
4BK7A       159      XRAY        1.140    0.14    0.17
4F1VA       381      XRAY        0.880    0.13    0.14
1PMHX       185      XRAY        1.060    0.20    0.17
5LJXA       495      XRAY        1.400    0.19    0.21
